Warning: $HADOOP_HOME is deprecated.

21/08/14 04:41:00 INFO utils.ConfigurationUtils: No edge input format specified. Ensure your InputFormat does not require one.
21/08/14 04:41:00 INFO utils.ConfigurationUtils: No edge output format specified. Ensure your OutputFormat does not require one.
21/08/14 04:41:00 INFO utils.ConfigurationUtils: Setting custom argument [PersonalizedPageRankComputationNaive.PPRBatchedWalks] to [400 400 400 400 400 400 400 400 400 400 400 400 400 400 400 400 400] in GiraphConfiguration
21/08/14 04:41:00 INFO utils.ConfigurationUtils: Setting custom argument [PersonalizedPageRankComputationNaive.PPRBatchedWalksFlag] to [true] in GiraphConfiguration
21/08/14 04:41:00 INFO utils.ConfigurationUtils: Setting custom argument [giraph.logLevel] to [debug] in GiraphConfiguration
21/08/14 04:41:00 INFO utils.ConfigurationUtils: Setting custom argument [giraph.async.message.store.threads] to [7] in GiraphConfiguration
21/08/14 04:41:00 INFO job.GiraphJob: run: Since checkpointing is disabled (default), do not allow any task retries (setting mapred.map.max.attempts = 1, old value = 1)
21/08/14 04:41:01 INFO job.GiraphJob: Tracking URL: http://galaxy040:50030/jobdetails.jsp?jobid=job_202108140246_0010
21/08/14 04:41:01 INFO job.GiraphJob: Waiting for resources... Job will start only when it gets all 28 mappers
21/08/14 04:41:29 INFO job.HaltApplicationUtils$DefaultHaltInstructionsWriter: writeHaltInstructions: To halt after next superstep execute: 'bin/halt-application --zkServer galaxy083:22181 --zkNode /_hadoopBsp/job_202108140246_0010/_haltComputation'
21/08/14 04:41:29 INFO mapred.JobClient: Running job: job_202108140246_0010
21/08/14 04:41:30 INFO mapred.JobClient:  map 99% reduce 0%
21/08/14 04:59:13 INFO mapred.JobClient:  map 100% reduce 0%
21/08/14 04:59:14 INFO mapred.JobClient: Job complete: job_202108140246_0010
21/08/14 04:59:14 INFO mapred.JobClient: Counters: 1146
21/08/14 04:59:14 INFO mapred.JobClient:   Map-Reduce Framework
21/08/14 04:59:14 INFO mapred.JobClient:     Spilled Records=0
21/08/14 04:59:14 INFO mapred.JobClient:     Virtual memory (bytes) snapshot=525883592704
21/08/14 04:59:14 INFO mapred.JobClient:     Map input records=28
21/08/14 04:59:14 INFO mapred.JobClient:     SPLIT_RAW_BYTES=1232
21/08/14 04:59:14 INFO mapred.JobClient:     Map output records=0
21/08/14 04:59:14 INFO mapred.JobClient:     Physical memory (bytes) snapshot=152126107648
21/08/14 04:59:14 INFO mapred.JobClient:     CPU time spent (ms)=22208980
21/08/14 04:59:14 INFO mapred.JobClient:     Total committed heap usage (bytes)=139068964864
21/08/14 04:59:14 INFO mapred.JobClient:   Zookeeper halt node
21/08/14 04:59:14 INFO mapred.JobClient:     /_hadoopBsp/job_202108140246_0010/_haltComputation=0
21/08/14 04:59:14 INFO mapred.JobClient:   Zookeeper server:port
21/08/14 04:59:14 INFO mapred.JobClient:     galaxy083:22181=0
21/08/14 04:59:14 INFO mapred.JobClient:   Giraph Timers
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 450 PersonalizedPageRankComputationNaive (ms)=326
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 200 PersonalizedPageRankComputationNaive (ms)=312
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 372 PersonalizedPageRankComputationNaive (ms)=348
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 939 PersonalizedPageRankComputationNaive (ms)=1898
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 122 PersonalizedPageRankComputationNaive (ms)=314
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 928 PersonalizedPageRankComputationNaive (ms)=530
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 97 PersonalizedPageRankComputationNaive (ms)=356
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 14 PersonalizedPageRankComputationNaive (ms)=4389
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 144 PersonalizedPageRankComputationNaive (ms)=2652
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 383 PersonalizedPageRankComputationNaive (ms)=323
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 394 PersonalizedPageRankComputationNaive (ms)=490
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 133 PersonalizedPageRankComputationNaive (ms)=297
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 917 PersonalizedPageRankComputationNaive (ms)=635
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 211 PersonalizedPageRankComputationNaive (ms)=3569
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 461 PersonalizedPageRankComputationNaive (ms)=549
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 550 PersonalizedPageRankComputationNaive (ms)=263
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 1050 PersonalizedPageRankComputationNaive (ms)=1833
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 25 PersonalizedPageRankComputationNaive (ms)=342
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 155 PersonalizedPageRankComputationNaive (ms)=1246
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 828 PersonalizedPageRankComputationNaive (ms)=6082
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 472 PersonalizedPageRankComputationNaive (ms)=3253
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 100 PersonalizedPageRankComputationNaive (ms)=361
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 906 PersonalizedPageRankComputationNaive (ms)=825
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 75 PersonalizedPageRankComputationNaive (ms)=1076
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 361 PersonalizedPageRankComputationNaive (ms)=415
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 283 PersonalizedPageRankComputationNaive (ms)=1040
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 494 PersonalizedPageRankComputationNaive (ms)=1388
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 233 PersonalizedPageRankComputationNaive (ms)=338
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 1072 PersonalizedPageRankComputationNaive (ms)=793
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 311 PersonalizedPageRankComputationNaive (ms)=343
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 250 PersonalizedPageRankComputationNaive (ms)=310
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 53 PersonalizedPageRankComputationNaive (ms)=332
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 806 PersonalizedPageRankComputationNaive (ms)=549
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 255 PersonalizedPageRankComputationNaive (ms)=649
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 322 PersonalizedPageRankComputationNaive (ms)=338
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 739 PersonalizedPageRankComputationNaive (ms)=479
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 47 PersonalizedPageRankComputationNaive (ms)=312
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 572 PersonalizedPageRankComputationNaive (ms)=3784
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 266 PersonalizedPageRankComputationNaive (ms)=752
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 967 PersonalizedPageRankComputationNaive (ms)=3734
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 261 PersonalizedPageRankComputationNaive (ms)=889
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 194 PersonalizedPageRankComputationNaive (ms)=316
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 411 PersonalizedPageRankComputationNaive (ms)=474
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 583 PersonalizedPageRankComputationNaive (ms)=326
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 58 PersonalizedPageRankComputationNaive (ms)=304
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 1094 PersonalizedPageRankComputationNaive (ms)=477
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 350 PersonalizedPageRankComputationNaive (ms)=2022
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 355 PersonalizedPageRankComputationNaive (ms)=2927
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 706 PersonalizedPageRankComputationNaive (ms)=434
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 839 PersonalizedPageRankComputationNaive (ms)=914
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 9 PersonalizedPageRankComputationNaive (ms)=1190
21/08/14 04:59:14 INFO mapred.JobClient:     Superstep 199 PersonalizedPageRankComputationNaive (ms)=309
