Warning: $HADOOP_HOME is deprecated.

21/08/14 04:29:42 INFO utils.ConfigurationUtils: No edge input format specified. Ensure your InputFormat does not require one.
21/08/14 04:29:42 INFO utils.ConfigurationUtils: No edge output format specified. Ensure your OutputFormat does not require one.
21/08/14 04:29:42 INFO utils.ConfigurationUtils: Setting custom argument [PersonalizedPageRankComputationNaive.PPRBatchedWalks] to [800 800 800 800 800 800 800 800 800] in GiraphConfiguration
21/08/14 04:29:42 INFO utils.ConfigurationUtils: Setting custom argument [PersonalizedPageRankComputationNaive.PPRBatchedWalksFlag] to [true] in GiraphConfiguration
21/08/14 04:29:42 INFO utils.ConfigurationUtils: Setting custom argument [giraph.logLevel] to [debug] in GiraphConfiguration
21/08/14 04:29:42 INFO utils.ConfigurationUtils: Setting custom argument [giraph.async.message.store.threads] to [7] in GiraphConfiguration
21/08/14 04:29:42 INFO job.GiraphJob: run: Since checkpointing is disabled (default), do not allow any task retries (setting mapred.map.max.attempts = 1, old value = 1)
21/08/14 04:29:43 INFO job.GiraphJob: Tracking URL: http://galaxy040:50030/jobdetails.jsp?jobid=job_202108140246_0009
21/08/14 04:29:43 INFO job.GiraphJob: Waiting for resources... Job will start only when it gets all 28 mappers
21/08/14 04:30:28 INFO job.HaltApplicationUtils$DefaultHaltInstructionsWriter: writeHaltInstructions: To halt after next superstep execute: 'bin/halt-application --zkServer galaxy032:22181 --zkNode /_hadoopBsp/job_202108140246_0009/_haltComputation'
21/08/14 04:30:28 INFO mapred.JobClient: Running job: job_202108140246_0009
21/08/14 04:30:29 INFO mapred.JobClient:  map 99% reduce 0%
21/08/14 04:40:57 INFO mapred.JobClient:  map 100% reduce 0%
21/08/14 04:40:57 INFO mapred.JobClient: Job complete: job_202108140246_0009
21/08/14 04:40:57 INFO mapred.JobClient: Counters: 594
21/08/14 04:40:57 INFO mapred.JobClient:   Map-Reduce Framework
21/08/14 04:40:57 INFO mapred.JobClient:     Spilled Records=0
21/08/14 04:40:57 INFO mapred.JobClient:     Virtual memory (bytes) snapshot=528664530944
21/08/14 04:40:57 INFO mapred.JobClient:     Map input records=28
21/08/14 04:40:57 INFO mapred.JobClient:     SPLIT_RAW_BYTES=1232
21/08/14 04:40:57 INFO mapred.JobClient:     Map output records=0
21/08/14 04:40:57 INFO mapred.JobClient:     Physical memory (bytes) snapshot=172126601216
21/08/14 04:40:57 INFO mapred.JobClient:     CPU time spent (ms)=21533240
21/08/14 04:40:57 INFO mapred.JobClient:     Total committed heap usage (bytes)=138578755584
21/08/14 04:40:57 INFO mapred.JobClient:   Zookeeper halt node
21/08/14 04:40:57 INFO mapred.JobClient:     /_hadoopBsp/job_202108140246_0009/_haltComputation=0
21/08/14 04:40:57 INFO mapred.JobClient:   Zookeeper server:port
21/08/14 04:40:57 INFO mapred.JobClient:     galaxy032:22181=0
21/08/14 04:40:57 INFO mapred.JobClient:   Giraph Timers
21/08/14 04:40:57 INFO mapred.JobClient:     Superstep 208 PersonalizedPageRankComputationNaive (ms)=10967
21/08/14 04:40:57 INFO mapred.JobClient:     Superstep 450 PersonalizedPageRankComputationNaive (ms)=1912
21/08/14 04:40:57 INFO mapred.JobClient:     Superstep 200 PersonalizedPageRankComputationNaive (ms)=430
21/08/14 04:40:57 INFO mapred.JobClient:     Superstep 458 PersonalizedPageRankComputationNaive (ms)=312
21/08/14 04:40:57 INFO mapred.JobClient:     Superstep 372 PersonalizedPageRankComputationNaive (ms)=786
21/08/14 04:40:57 INFO mapred.JobClient:     Superstep 122 PersonalizedPageRankComputationNaive (ms)=285
21/08/14 04:40:57 INFO mapred.JobClient:     Superstep 536 PersonalizedPageRankComputationNaive (ms)=461
21/08/14 04:40:57 INFO mapred.JobClient:     Superstep 97 PersonalizedPageRankComputationNaive (ms)=2622
21/08/14 04:40:57 INFO mapred.JobClient:     Superstep 369 PersonalizedPageRankComputationNaive (ms)=1096
21/08/14 04:40:57 INFO mapred.JobClient:     Superstep 119 PersonalizedPageRankComputationNaive (ms)=1173
21/08/14 04:40:57 INFO mapred.JobClient:     Superstep 14 PersonalizedPageRankComputationNaive (ms)=745
21/08/14 04:40:57 INFO mapred.JobClient:     Superstep 144 PersonalizedPageRankComputationNaive (ms)=2501
21/08/14 04:40:57 INFO mapred.JobClient:     Superstep 447 PersonalizedPageRankComputationNaive (ms)=318
21/08/14 04:40:57 INFO mapred.JobClient:     Superstep 383 PersonalizedPageRankComputationNaive (ms)=311
21/08/14 04:40:57 INFO mapred.JobClient:     Input superstep (ms)=3990
21/08/14 04:40:57 INFO mapred.JobClient:     Superstep 394 PersonalizedPageRankComputationNaive (ms)=306
21/08/14 04:40:57 INFO mapred.JobClient:     Superstep 133 PersonalizedPageRankComputationNaive (ms)=280
21/08/14 04:40:57 INFO mapred.JobClient:     Superstep 525 PersonalizedPageRankComputationNaive (ms)=580
21/08/14 04:40:57 INFO mapred.JobClient:     Superstep 211 PersonalizedPageRankComputationNaive (ms)=2350
21/08/14 04:40:57 INFO mapred.JobClient:     Superstep 461 PersonalizedPageRankComputationNaive (ms)=348
